intitule,description,romeLibelle,competences,cosine_similarity_tfidf
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.

Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.

Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),

- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.

- Assurez la gestion des équipes en sous-traitance,

- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )

- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)

- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office. Permis de conduire B souhaité.",Intervention technique en études et développement électronique,"[{'code': '104558', 'libelle': 'Schémas / Plans du système électrique ou électronique', 'exigence': 'S'}, {'code': '104556', 'libelle': 'Sélectionner les composants électroniques, électriques à partir de bases de données, de nomenclatures fournisseurs', 'exigence': 'S'}, {'code': '104557', 'libelle': 'Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique', 'exigence': 'S'}, {'code': '300126', 'libelle': 'Créer une documentation technique', 'exigence': 'S'}, {'code': '300184', 'libelle': 'Apporter une assistance technique', 'exigence': 'S'}]",[[0.52209353]]
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.

Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.

Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),

- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.

- Assurez la gestion des équipes en sous-traitance,

- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )

- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)

- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office. Permis de conduire B souhaité",Intervention technique en contrôle essai qualité en électricité et électronique,"[{'code': '104751', 'libelle': ""Sélectionner le matériel de contrôle ou d'essais et vérifier sa conformité"", 'exigence': 'S'}, {'code': '121618', 'libelle': 'Concevoir des procédures de tests', 'exigence': 'S'}, {'code': '123814', 'libelle': ""Contrôler l'état de fonctionnement d'un appareil"", 'exigence': 'S'}, {'code': '124978', 'libelle': ""Simuler les fonctionnalités d'un appareil"", 'exigence': 'S'}, {'code': '300451', 'libelle': ""Transmettre de l'information"", 'exigence': 'S'}]",[[0.52209353]]
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.

Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.

Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),

- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.

- Assurez la gestion des équipes en sous-traitance,

- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )

- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)

- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office.",Conception et dessin de produits électriques et électroniques,,[[0.52209353]]
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.
Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.
Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),
- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.
- Assurez la gestion des équipes en sous-traitance,
- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )
- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)
- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office.",Conception et dessin de produits électriques et électroniques,,[[0.52209353]]
Projeteur CFO/ CFA H/F (H/F),"Description du poste

Au sein de nos équipes bureau d'études CFA/CFO, le projeteur contribue à la production d'études d'exécution, d'études avant-projet et de dossiers d'ouvrages exécutés.

Immergé dans les problématiques techniques, il doit aussi respecter un budget et assurer le rendu des livrables dans le planning établi.

Le projeteur occupe ainsi une position centrale au sein du projet, il est en relation régulière avec les conducteurs de travaux, les chargés d'affaires, les dessinateurs et le Responsable du BE.

En externe, il intervient également auprès de nos clients et sous-traitants.

Assurez le suivi opérationnel de vos affaires (relationnel, relance client, gestion technique, conformité CCTP et normes en vigueur, budgets, délais, conformité des dossiers de réponse aux AO,  ),

- Garantir le respect des cahiers des charges, des normes applicables, des règles d'ingénierie métier et des différentes chartes clients.
- Assurez la gestion des équipes en sous-traitance,
- Participer aux visites et aux réunions d'avancement des études d'exécution et représentez l'entreprise auprès des différents acteurs (clients, fournisseurs  )
- Contrôler et maintenir la qualité de nos productions (livrables, demande d'accès aux ouvrages, plans, tableaux ...)
- Gestion des notes de calculs, plans d'implantation, plans de cheminement synoptique, rédaction des procédures, études d'exécution.


Qualifications

De formation Bac+2 minimum, BTS Electrotechnique ou formation équivalente, vous justifiez d'une expérience réussie dans le domaine sus-cité et idéalement à un poste similaire. Habitué(e) à un environnement exigeant, vous savez prendre des initiatives et pérenniser vos relations avec vos clients. Autonome et organisé(e), votre expertise technique et votre aisance relationnelle vous permettront de mener à bien les projets en cours dans une logique constante de satisfaction client. Vous maitrisez les logiciels de dessin et de dimensionnement d'installations électriques.

Vous maîtrisez le pack office.",Conception et dessin produits mécaniques,,[[0.52209353]]
Ingénieur d'études (H/F),"Description du poste :
Au sein de la DSI vous participerez en tant qu'expert technico-fonctionnel à la définition des besoins métiers ainsi qu'à leur cadrage, à la recherche de solution techniques et aux analyses détaillées relatives à votre domaine.
Vous prendrez aussi en charge l'étude d'impact et la rédaction des spécifications technico-fonctionnelle, la rédaction et le déroulement des cahiers de recette, la VSR et la documentation du projet dans un outil collaboratif.
Ce domaine d'application, couvre tous les besoins et les outils relatifs au middle office de la banque, bourse et Crédits : CRM, eligibilité, souscription, offre marketing, Editique, gestion des risques, etc.
Vous serez également amené à endosser le rôle de chef de projet qui nécessitera de sa part, en plus des taches habituelles, l'organisation et l'animation des ateliers de cadrage, la recette métier, la planification et chiffrage transverse ainsi que la gestion des COPRO et COPIL.
De plus, et sur un cycle d'environ 5 semaine, vous aurez en charge le suivi des processus de livraison en VAL et en PROD des nouvelles releases applicatives.
Vos principales missions seront de :***Participer (rôle de BA), collecter et orienter (rôle de CP) la définition des besoins métier, en accompagnant et challengeant ce dernier dans la rédaction de son Expression De Besoins (EDB) pouvant impacter notre SI middle
* Participer (rôle de BA) et/ou organiser (rôle de CP) l'études de faisabilité et la rédaction de la Note De Cadrage (NDC) des demandes / projets en proposant des solutions technico-fonctionnelle alternatives si nécessaire.
* Etablir (BA) et suivre (CP) les aspects budgétaires et planning des travaux confiés aux middle (BA) et à toutes les autres partie prenantes (CP)
* Rédiger (BA) les Spécifications Fonctionnelles Détaillées (SFD), en anglais, à destination de nos équipes de développement middle.
* Superviser les travaux de développement out-sourcés (BA) :
  - Challenger et valider les spécifications techniques
  - Challenger et valider les charges et solutinos de développement
  - Assurer un support fonctionnel aux équipes de développement
  - Contrôler les délais, la complétude, la qualité et la conformité des livrables
* Suivre et superviser les actions et planning de toutes les parties prenantes (CP).
* Réaliser et exécuter les phases de tests IT (BA) (préparation de scenarii et jeux de tests, correction des anomalies remontées.)
* Organiser et assister les équipes métiers dans l'élaboration et la réalisation de la recette utilisateurs (CP)
* Préparer les mises en production (BA)
* Identifier les synergies et impacts possibles avec les autres projets de l'équipe (BA/CP)
* Rattraper la dette technique lorsqu'un projet touche à de trop vieilles fonctionnalités (BA)
* Assurer le passage en maintenance (BA)
* Rédaction de la documentation du projet et des évolutions techniques dans un outil documentaire partagé (BA).
Description du profil :
De formation Bac + 4/5 en école d'ingénieur ou universitaire filière informatique impérative.
Vous avez une expérience obligatoire en gestion de projet (minimum 6 ans) pour des projets de taille significative notamment en CRM et une expérience de minimum 3 ans en matrise d'oeuvre.
Vous avez de bonnes connaissances fonctionnelles sur la Banque de détail et sur le cycle de gestion de projets.
Vous avez des compétences en conduite du changement et en formalisation de processus.
Vous maitrisez le concept de modélisation relationnelle d'une base de données, les principes du CRM et savez lire et analyser des logs techniques (niveau 2)
Des connaissances techniques d'accès aux bases de données : requêtes SQL pour analyse d'impacts, vérification des cas de test sont nécessaires pour ce poste.
Vous savez animer des ateliers de travail, comité projet / pilotage / stratégique.
Doté d'un bon relationnel, vous êtes réactif, autonome, rigoureux, organisé et disponible. Vous avez une bonne capacité d'adaptation d'analyse et de synthèse.",Études et développement informatique,,[[0.50881512]]
Chargé de mission (H/F),"Description du poste :
Poste ouvert en CDI - Horaire de semaine du lundi au vendredi
Notre agence Adéquat de Blois recrute de nouveau talent : Chargé(e) de mission exploitation H/F pour son client expert dans le transport situé à Blois (41)
A ce titre, vous accompagnerez le responsable d'exploitation sur les opérations et la production en lien avec le changement énergétique des moyens de la production.
Missions :
- accompagner le management de proximité des équipes d'exploitation
- participer à l'animation du dialogue social
- Intervenir sur des projets d'évolution et d'optimisation de l'exploitation
- Analyser les process avec des propositions d'actions d'amélioration
- Mettre en oeuvre et suivre les indicateurs
- Participer aux études et à la construction de l'offre, à la construction des budgets et à élaboration des tableaux de bord.
Description du profil :
Profil :
- Idéalement avec un BAC +2 ou 3 en exploitation / RH...
- Être à l'aise avec les outils bureautiques : Pack Office / Excel-Word
- Être rigoureux(euse), enthousiaste, méthodique, organisé(e), dynamique
- Avoir des qualités relationnelles et avoir le sens de l'écoute
Votre parcours:
Issu d'une formation Bachelor, vous possédez une première expérience et souhaitez intégrer le monde de la mobilité, accélérer votre compréhension des métiers de l'exploitation pour accéder rapidement à des responsabilités opérationnelles.
Rémunération :
- Rémunération comprise entre 32K et 35K
Statut d'agent de maîtrise avec un salaire attractif + variable.
A savoir:
Formation en alternance d'un an permettant l'obtention de la Capacité Transport par équivalence.
Basé à Vaulx en Velin ( période d'école 2 jours par semaine) et Blois ( réseau 3 jours par semaine) le temps de la formation d'un an. Les frais de déplacements sont pris en charge par l'entreprise.
Pour toutes questions, vous pouvez nous joindre au***Rejoignez le groupe Adéquat, l'acteur le plus dynamique du secteur de l'emploi depuis 3 ans !
Adéquat, Simplement pour vous !",Conseil en emploi et insertion socioprofessionnelle,,[[0.50831525]]
Thecnicien frigoriste (H/F),"La mission sera de prendre en charge la gestion administrative en lien avec les équipes opérationnelles, et plus précisément, les tâches seront :

- Gérer l'administratif du service : conception et rédaction de courriers, tri du courrier, commande consommable bureau, accueil téléphonique
- Gestion du parc locatif et de la flotte entreprise
- Organisation planning de location
- Préparation des devis et factures
- Gestion de tournées de livraison de repas

Astreinte le samedi.

De niveau bac + 2, idéalement BTS management commercial opérationnel, vous justifiez d'une expérience dans un poste équivalent.

Organisé(e) et autonome, vous êtes reconnu(e) pour vos qualités relationnelles et votre capacité d'adaptation. 

La maîtrise du pack office est impérative.


Rémunération selon profil.","Installation et maintenance en froid, conditionnement d'air","[{'code': '106740', 'libelle': 'Positionner et fixer les groupes, condenseurs, tubes, câbles électriques', 'exigence': 'S'}, {'code': '106742', 'libelle': ""Contrôler l'étanchéité"", 'exigence': 'S'}, {'code': '300155', 'libelle': 'Démarrer et/ou arrêter une machine, une ligne', 'exigence': 'S'}, {'code': '300182', 'libelle': 'Réparer un équipement, une machine, une installation', 'exigence': 'S'}, {'code': '300185', 'libelle': 'Réaliser un diagnostic technique', 'exigence': 'S'}]",[[0.50738236]]
Product Analyst F/H - Marketing (H/F),"Descriptif du poste:


Vos missions principales seront les suivantes :1 Gestion Fonctionnelle des produits en tant que Product Analyst de la squad « Crédits Renouvelable »Vous participez à la mise en place opérationnelle des Produits, en collaboration avec le Product Owner, les Product Managers et les Epic OwnersVous aidez au découpage fonctionnel des besoinsVous rédigez les spécifications fonctionnelles détaillées (SFD), en modélisant si besoin les maquettesVous garantissez le maintien en condition opérationnelle du produit dans son environnement, en aidant à résoudre les anomalies ou signalements remontésVous conduisez des études de faisabilité et les analyses d'impactsVous cadrez le besoin métier et proposez des solutions simples et efficaces aux côtés du Product OwnerVous prenez en charge la rédaction des expressions de besoin fonctionnel en assistant les Product Managers et Product OwnerVous préparez et participez aux différentes cérémonies agiles de la tribu 2 Gestion du backlog de la squad et définition des règles fonctionnellesVous rédigez et validez les User Stories et les features, en s'appuyant sur le Product Owner et les Product managers si nécessaireVous suivez les critères de la Definition Of Ready et de la « Definition of Done » en collaboration avec l'équipeVous travaillez conjointement avec l'équipe de développeurs pour le suivi des travaux en soutien du Product Owner  3 Gestion du test et delivery de la squad Poste basé à La Plaine-Saint-Denis.

Profil recherché:


Vous êtes curieux et avez un fort intérêt pour la distribution multicanal et l'expérience utilisateur : B to B et B to B to C.Doté d'une grande adaptabilité, votre poste sera varié et la montée en compétence continue sur différents aspects (gestion de plusieurs canaux, plusieurs types d'utilisateurs, gamme de produits variés).Organisé(e), vous pouvez mener à bien plusieurs objectifs variés de front et en parallèle, sur des horizons de temps différents.Vous comprenez l'environnement IT, maitrisez l'environnement fonctionnel et les interactions avec les parcours utilisateurs et les process.Vous avez la capacité d'élaborer une stratégie d'actions opérationnelles pour résoudre rapidement des irritants ou points de rupture..
De formation Bac+5 / Master 2, issu d'une école d'ingénieur ou issu d'un cycle avec une spécialisation IT ou RMOA.Vous avez un minimum de 3 ans sur une fonction de Product analyst/ business analyst ou product Owner (côté IT impérativement)/ ou chef de projet MOA.",Conseil et maîtrise d'ouvrage en systèmes d'information,,[[0.50509721]]
Business Analyst F/H - Marketing (H/F),"Descriptif du poste:


Rattaché au Lead BA, vous êtes responsable de la qualité du service rendu par les applications du système d'information de notre client sur le périmètre métier suivant : « Opérations Maintenance ».

Vos principales missions comme Business Analyst :
* Sur votre périmètre métier, vous êtes le lien entre le métier et la DSI pour les demandes d'évolution du Système d'Information (SI),
* Vous garantissez la qualité des services de la DSI pour le métier et participez aux projets,
* Vous collaborez avec les différents secteurs du métier, coordonnez les prestations externes et offrez un support de niveau 2 pour les problèmes applicatifs,
* Vous gérez les demandes du métier, de la planification à l'exécution, en communiquant régulièrement l'état d'avancement,
* Vous transformez les demandes du métier en documents utilisables, planifiez les tests et assurez la formation des utilisateurs,
* Vous anticipez les évolutions métiers et proposez des améliorations pour les processus, données, applications et systèmes,
* Vous pourriez superviser des prestataires et signaler les problèmes à votre hiérarchie.

Profil recherché:


Au moins une expérience en gestion de maintenance d'équipements sur site client.

Connaissance en gestion de projet informatique et processus de support informatique. Compétence en rédaction de spécifications.

Expérience avec OpenText est un atout.

Anglais courant.",Études et développement informatique,,[[0.50500602]]
