intitule,description,romeLibelle,competences,cosine_similarity_tfidf
Consultant/Consultante CRM - Rennes (H/F),"Descriptif du poste
Divalto recrute pour son partenaire RBI à Rennes !

Vos missions :

Vous participez à la mise en place des solutions métiers gestion commerciale et gestion logistique,

Vous personnalisez le CRM Divalto Weavy des futurs clients,

Vous intégrez le CRM Divalto Weavy chez les futurs clients,

Vous accompagnez l'adoption du CRM auprès des utilisateurs,

Vous pilotez l'analyse des besoins des clients et la mise en œuvre de la solution proposée.

Profil recherché
Votre différence

Vos compétences techniques ;

Vous êtes passionné.e d'informatique,

Vous maitrisez le langage SQL,

Vous possédez des connaissances techniques dans le domaine de la logistique, de la production et/ou de l'industrie,

Vous connaissez les logiciels CRM d'un point de vu fonctionnel et technique,

Vous avez un niveau d'anglais professionnel,

La connaissance des langages de développement .NET et C# est un plus.

Vos compétences humaines :

Vous disposez d'excellentes capacités relationnelles,

Vous savez vous adapter,

Vous êtes réactif-ive et organisé-e.

Vous savez adapter votre posture face à un client

Votre formation et votre expérience pro :

De formation Bac +3 minimum, vous justifiez d'une première expérience réussie de 2 années dans l'intégration d'applications dédiées à la gestion d'entreprise.

Les différences de RBI

Package salarial attractif,

12 RTT par an avec une base de temps de travail hebdomadaire de 37H30,

1 jour de télétravail par semaine avec possibilité de full remote,

Participation aux frais d'abonnements de transports en commun,

Mise à disposition d'une voiture de service pour les déplacements professionnels.

Déroulement des entretiens
Entretien téléphonique de pré-qualification avec Nathan

Premier entretien sur site avec Jean-Charles MICHEL

Entretien technique avec l'opérationnel

Rencontre avec la Direction",Conseil et maîtrise d'ouvrage en systèmes d'information,"[{'code': '109818', 'libelle': 'Élaborer des solutions techniques et fonctionnelles', 'exigence': 'S'}, {'code': '120326', 'libelle': 'Recenser les besoins du commanditaire', 'exigence': 'S'}, {'code': '120327', 'libelle': 'Analyser les processus métier', 'exigence': 'S'}, {'code': '300021', 'libelle': 'Transmettre une technique, un savoir-faire', 'exigence': 'S'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'S'}]",[[0.48172865]]
Assistant commercial / Assistante commerciale,"Rattaché au service communication et commercial, et sous l'autorité de la responsable du service, située à Flers (61) vous aurez pour mission de contribuer au développement commercial du GRETA Portes Normandes et au sourcing des différentes actions de formation. 

Vos missions :
- Prospection et démarchage commercial auprès des entreprises du territoire
- Accompagner les Conseillers en Formation Continue dans leur rôle d'agent de développement (prise de RDV pour les CFC, participer à des réunions  )
- Mettre à jour les fichiers clients et bases de données
- Mettre en œuvre des opérations de mailings et/ou de relance téléphonique (notamment les relances suite à des devis sans réponses)
- Assurer le suivi et la fidélisation des clients.
- Promouvoir les dispositifs de formation auprès des clients, prospects et partenaires (actions de phoning et e-mailings)
- Participer activement à la définition du plan d'action commercial et à la mise en œuvre en lien avec la responsable commercial.
- Mise en relation candidats / entreprises pour les contrats d'alternance
- Saisie de l'offre de formation sur EDOF

Aptitudes professionnelles :
- Sens de l'organisation
- Sens du travail collaboratif
- Sens de l'initiative et de l'autonomie
- Réactivité
- Aptitude à interroger ses pratiques professionnelles
- Droits et obligations
- Secret professionnel et confidentialité

Compétences :
- Méthodologie de suivi et d'évaluation des actions
- Méthodologie de suivi de projet
- Techniques de commercialisation
- Utilisation de l'outil informatique et du logiciel ou progiciel spécifique
- Utilisation des outils bureautiques 

Formation et expériences :
- BAC+2 avec expérience professionnelle significative d'un an sur fonctions commerciales et communication dans le domaine des services.  
- La connaissance du secteur de la formation est un plus. 

Avantages :
- Supplément Familial de Traitement
- Nombre de jours de congés annuels
- Participation à la mutuelle

Statut et rémunération :
- Contrat de vacation puis contrat à durée déterminée de droit public
- Poste à pourvoir à partir du 01/02/2024
- Fin de contrat : 31/08/2024 (renouvelable)
- Rémunération selon la grille des agents non titulaires de l'Etat, le diplôme et l'expérience
- Lieux d'exercices : Évreux - Lycée Louis Modeste Leroy - 27000 Évreux 
Vous serez amené à vous déplacer sur le territoire de l'Eure et d'Elbeuf ; au sein des 6 antennes du GPN : Evreux, Bernay, Pont-Audemer, Vernon, Elbeuf et Louviers (prise en charge des frais de déplacements)",Assistant commercial / Assistante commerciale,"[{'code': '124537', 'libelle': ""Vérifier les conditions de réalisation d'une commande"", 'exigence': 'S'}]",[[0.48104705]]
chef cellule comptable H/F - EC159888,"chef cellule comptable H/F - EC159888 Composée d'une équipe de 10 personnes dont 3 cadres A, 3 cadres B et 6 comptables, la Direction financière est l'acteur principal lors de la mise en place de tout nouveau projet. Elle prépare, suit et contrôle les budgets du syndicat. Chaque comptable est responsable d'un périmètre d'activités (enfouissement des réseaux, énergies renouvelables, numérique-) qui lui permet de travailler sur l'ensemble des missions comptables de l'engagement à la gestion des écritures de dépenses et recettes jusqu'aux contrôles a posteriori. L'ensemble de la comptabilité est totalement dématérialisé grâce à l'utilisation de la plateforme Chorus Pro, du logiciel CIVIL Finances et d'un parapheur électronique DOCAPOST FAST.
Le poste de chef de cellule comptable
En tant que chef.fe de cellule comptable, vous assurerez l'encadrement d'agents comptables (2 agents) et vous serez en charge du contrôle de l'exécution du budget à travers les missions suivantes : 
- Participer à l'élaboration du budget du SIPPEREC et veiller à sa bonne exécution par les agents comptables.
o Vous participez à l'élaboration des documents budgétaires dans le respect des   instructions comptables M14, M57 et M4.
o Vous vous assurez du respect des contraintes financières du syndicat.
o Vous tenez des tableaux de bords financiers.
o Vous suivez l'exécution budgétaire par le contrôle à postériori des écritures passées par les agents comptables.
o Vous pilotez la gestion de la trésorerie et suivez le recouvrement des titres de recette.
- Suivi de la mise à jour comptable du patrimoine du syndicat : -contrôle des immobilisations entrées à l'actif, amortissement, cession, mise à la réforme, transmission du bilan annuel des entrées et sorties du patrimoine auprès du comité syndical et du Trésorier
Prise en charge des missions spécifiques telles que l'administration et la gestion du système d'information de la direction des finances ainsi que le pilotage et le développement des projets informatiques liés aux finances et à la dématérialisation.
- Contrôler la gestion comptable de 2 budgets et coordonner avec une gestionnaire le contrôle et le traitement de la TCCFE.",Direction de la sécurité civile et des secours,,[[0.48082051]]
Consultant / Consultante en Logiciels de Gestion / Comptabilité (H/F),"NS2B recherche  1 Consultant(e) technicien(e) de support et Formation h/f en logiciels de Gestion et Comptabilité , afin de renforcer son équipe Logiciels basée à ST DENIS - île de la Réunion (97400). 

La personne retenue intègrera l'équipe logicielle qui a pour rôle d'accompagner les entreprises clientes dans la mise en place et l'exploitation des solutions de gestion et Comptabilité proposées par NS2B
Les missions concernent dans un premier temps l'accompagnement au quotidien dans le cadre du support téléphonique. Ensuite après validation, les missions peuvent s'élargir au paramétrage des logiciels et à la formation des clients.  

MISSIONS : 
- Prises d'appels téléphoniques pour faire le support technique client
- Paramétrage des logiciels - Récupération et migration de fichier 
- Formation des utilisateurs sur les logiciels
- Test de nouveaux logiciels 
- Intervention à distance et sur site 

Vous pourrez être amené(e) à vous déplacer chez les clients dans tout le département.

PROFIL : 
Des qualités d'écoute, de compréhension, de pédagogie et d'autonomie sont nécessaires pour ce poste. il est important également d'avoir des notions de gestion et de comptabilité. 
Idéalement, le/la candidat (e) retenu(e) doit connaître au moins une des solutions de gestion suivantes : EBP, SAGE, COALA, QUADRATUS, ACD sur les applications comptables et facturation. 
Une bonne maitrise de la bureautique (Excel/Word/Outlook) est requise.
Une connaissance des requêtes SQL serait appréciée ainsi que des notions en matière de tableaux de bord ou analyse de rentabilité. 
Le/la  candidat(e) devra être disponible rapidement et très motivé(e). 
Rejoignez une équipe dynamique et un cadre de travail détendu et sympathique  . 

N'hésitez pas ce job est pour vous si vous êtes issu(e) d'une formation en gestion en comptabilité et êtes débutant(e)s ou avez 3 ans d'expériences en entreprise dans des services de comptabilité, gestion, logistique, service commercial ou en tant que consultant(e) logiciel chez un éditeur ou un intégrateur de logiciel, n'hésitez pas à nous adresser votre candidature.",Conseil et maîtrise d'ouvrage en systèmes d'information,"[{'code': '101398', 'libelle': 'Finance', 'exigence': 'S'}, {'code': '121126', 'libelle': ""Progiciels de gestion intégrée d'entreprise (ERP)"", 'exigence': 'E'}, {'code': '126340', 'libelle': 'Gestion commerciale, relation clients', 'exigence': 'E'}, {'code': '109818', 'libelle': 'Élaborer des solutions techniques et fonctionnelles', 'exigence': 'S'}, {'code': '120325', 'libelle': ""Présenter les évolutions du système d'information au commanditaire"", 'exigence': 'S'}, {'code': '120326', 'libelle': 'Recenser les besoins du commanditaire', 'exigence': 'S'}, {'code': '120327', 'libelle': 'Analyser les processus métier', 'exigence': 'E'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'S'}]",[[0.4786894]]
"Data Analyst « SAS, BOARD et Dataviz » (H/F)","Mon client est la Direction du Contrôle de Gestion d'un important Groupe en charge d'une mission de Service Public.

Ils recherchent un Data Analyst de niveau avancé sur SAS, BOARD et Dataviz.

MISSIONS :

- La réalisation ou la spécification de la collecte des données nécessaires à
l'élaboration d'un modèle de calcul ou d'un tableau de bord à partir des SI et
Infocentres;
- La réalisation ou la spécification de modèles de calcul ou de modèles de données
pour simplifier la réalisation des analyses et des restitutions à partir de Board et
l'entrepôt de données SAS;
- La réalisation des tableaux de bord dans des outils de Dataviz (nos outils: DigDash,
Microstrategy );
- La compréhension des besoins utilisateurs et savoir évoluer en mode projet;
- La réalisation d'études de Gestion pour répondre aux interrogations du Comité
Stratégique;
- La participation au projet SAP/4Hana ainsi qu'à l'intégration de l'EPM Board.

&gt;&gt; Compétences attendues:
- maîtrise des algorithmes et des langages de programmation ;
- maîtrise du langage de data management et des bases de données ;

&gt;&gt; Connaissance outils : SAS, SAS Guide, BOARD, Microstrategy, Digdash, SAP,
Excel 
 

PROFIL :

Diplômé(e) d'une école d'Ingénieur, vous bénéficiez d'une expérience réussie de 5 ans
minimum en data management et gestion de projet.
Connaissance en modélisation de calcul/données sous plateforme analytique.
Expérience en analyse de données pour conceptualiser et réaliser des tableaux de bord
industrialisés sous outils de datavisualisation.
La connaissance du contrôle de gestion serait un vrai plus.",Études et prospectives socio-économiques,"[{'code': '109527', 'libelle': 'Adapter les outils de traitement statistique de données', 'exigence': 'S'}, {'code': '109528', 'libelle': ""Rédiger l'information produite"", 'exigence': 'S'}, {'code': '109529', 'libelle': 'Présenter et diffuser les résultats des études réalisées', 'exigence': 'S'}, {'code': '109542', 'libelle': 'Réaliser une étude', 'exigence': 'S'}, {'code': '300457', 'libelle': ""Définir et faire évoluer des procédés de traitement de l'information"", 'exigence': 'S'}]",[[0.47689256]]
Magasinier atelier nautisme (H/F),"Dans le cadre de notre développement, nous recherchons un(e) magasinier qui assistera le chef d'atelier H/F, pour renforcer l'équipe existante.

Vous justifiez obligatoirement d'une expérience de 2 ans minimum dans le nautisme, avec notamment les connaissances suivantes :
- commandes des pièces détachées, assurer les commandes de pièces, contrôler les fournisseurs, mettre en stock, gérer les stocks, contrôler prix d'achat/marge/vente, mise en rayon
- préparer contrôler et distribuer les pièces destinées à l'atelier, rapprocher sortie des pièces avec ordres de travail
- effectuer un inventaire minimum annuellement et en établir le bilan
- assurer le lien avec les centres techniques, mise en place garantie constructeur, être force de proposition sur les stocks de pièces à avoir 
- traitement des demandes SAV, devis, factures
- assurer le remplacement du chef d'atelier lors de son absence
- prise de RDV

Tenue à jour des logiciels utilisés : mise à jour, personnalisation 
Tenue et mise à jour des tarifs accessoires
Bonne maitrise pack office pour ce poste et une connaissance des pièces détachées bateaux.
Caces pour conduire un Fenwick apprécié.

Votre rôle consistera à épauler le chef d'atelier.

Horaires de 8h à 12h et 13h à 17h, du lundi au jeudi, 8h-12h / 13h-16h le vendredi.
Heures supp quotidien notamment de février à août. Heures supp payées.",Magasinage et préparation de commandes,"[{'code': '110036', 'libelle': 'Réaliser le prélèvement de produits selon les instructions de préparation de commande et constituer les colis, lots, ...', 'exigence': 'S'}, {'code': '300263', 'libelle': ""Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison"", 'exigence': 'S'}, {'code': '300265', 'libelle': 'Charger, décharger, manutentionner des produits', 'exigence': 'S'}, {'libelle': 'Permis cotier facultatif', 'exigence': 'S'}]",[[0.476442]]
"Ingénieur Métrologue F/H - Test, essai, validation, expertise (H/F)","Descriptif du poste:


Pour répondre à notre « Projet de modernisation » de nos infrastructures ainsi qu'aux enjeux climatiques, VNF souhaite créer une équipe d'experts spécialement dédiés à la Gestion Hydraulique.

Une toute nouvelle unité prend forme, de la gestion des outils, à la modélisation, en passant par conduite de programmes jusqu'à la prospective (et bien d'autres défis encore !), il y aura forcément une place pour vous à bord ! 

En tant qu'Ingénieur métrologue, vous vous assurerez de définir le réseau de mesures à mettre en place, de piloter la fiabilisation des données et de développer des outils d'analyses


A ce titre, en lien avec les 7 directions territoriales, vous serez amené à :


* Elaborer un programme national pour définir les types de mesures, les techniques et les choix d'instrumentation, d'implantations et modalités de gestion des instruments ;
* Assurer leur accompagnement et l'animation du réseau interne dans la déclinaison et la mise en œuvre du programme ;
* Administrer la base de données interne (Aghyre) : vous vous assurez de la gestion et la fiabilisation des données
* Réaliser la prospective en matière de métrologie
* Participer aux travaux du Ministère et aux projets de recherche dans ce domaine (OFB, INRAE,.)


Vous savez et souhaitez travailler en équipe, afin d'assurer la complémentarité des expertises de la future unité « Gestion Hydraulique ».

Profil recherché:


Pour constituer notre équipe d'experts dédiés « Gestion Hydraulique », nous recherchons :


* Une formation d'ingénieur vous permettant d'aborder les sujets de la métrologie avec assurance (génie industriel, instrumentation, mesure, .) ;
* Une expérience d'au moins 5 ans dans la gestion de projets complexes faisant appel à votre expertise technique ;
* Une expertise en acquisition et traitement de la donnée en hydrologie ;
* Une expertise technique en hydraulique à surface libre et du fonctionnement hydraulique ;


Des déplacements sont à prévoir : 2 à 3 jours par mois (non consécutifs) à Paris ainsi que dans les directions territoriales à raison d'1 à 2 visites annuelles par site (2 à 3 jours de déplacements par visite)","Management et ingénierie études, recherche et développement industriel",,[[0.47486253]]
TECHNICIEN(NE) METHODES H/F,"Dans le cadre d'un départ, nous recherchons un(e) Technicien(ne) Méthodes (H/F).
Rattaché(e) au Responsable Méthodes, vos missions sont :
· Conception et mise en place des postes de travail et des processus de fabrication.
· Gestion en mode projet du développement et de l'industrialisation process des pièces nouvelles (devis, gammes, planning, outillage, prototypage.).
· Animation des programmes d'amélioration.Savoir-faire :
· Logiciels de conception : Catia V5, V6.
· Suite Bureautique.
· SAP.
· Connaissances en usinage, matériaux, traitement thermique.
Savoir être :
· Organisé(e), Précis(e), Force de propositions, travail en équipe, Homme/Femme de terrain.
De formation BAC+2 et plus dans le domaine de la conception.
Une expérience significative dans l'industrie et/ou la forge sera un plus.
CDI temps plein.
Rémunération : selon profil.
Poste basé à HAGONDANGE (57300).",Intervention technique en méthodes et industrialisation,,[[0.47136133]]
Gestionnaire comptable,"MISSIONS PRINCIPALES 
-	Participation au processus de préparation budgétaire
-	Coordination, gestion et contrôle des procédures budgétaires et comptables des services 
-	Formalisation des procédures comptables et élaboration de procédures de régulation 
-	Construire et analyser les tableaux de bord et d'indicateurs dans les différents outils 
-	Vérifier et classer les pièces comptables 
-	Assurer les fonctions d'assistant au Directeur administratif et financier 
-	Superviser les gestionnaires comptables dans le cadre du suivi de la comptabilité 
-	Assurer la mise à jour administrative et comptable des bases de données

PROFIL
-	Diplôme supérieur en comptabilité ou en finance souhaité 
-	Une expérience au sein d'un service comptabilité ou d'un service financier est requise
-	Connaissance de la comptabilité publique, de la comptabilité analytique et des finances publiques 
-	Maîtrise des nomenclatures budgétaires 
-	Capacité à travailler en équipe

RENSEIGNEMENTS PRATIQUES

-	Postes à temps complet basé à GEX
-	Candidatures ouvertes aux titulaires ou aux contractuelles
-	Rémunération statutaire + régime indemnitaire
-	Avantages : supplément familial de traitement - chèques déjeuner - participation mutuelle santé - prise en charge de la prévoyance - prise en charge de l'abonnement transports en commun pour les trajets domicile/travail - COS/CNAS;

Pour postuler :  https://www.welcometothejungle.com/fr/companies/pays-de-gex-agglo/jobs",Comptabilité,"[{'code': '120886', 'libelle': 'Logiciels comptables', 'exigence': 'S'}, {'code': '117139', 'libelle': 'Codifier une facture', 'exigence': 'S'}, {'code': '117140', 'libelle': 'Codifier un mandat', 'exigence': 'S'}, {'code': '117141', 'libelle': 'Codifier un titre', 'exigence': 'S'}]",[[0.46807184]]
Développeur - CDI - Mérignac (H/F),"Qu'allez-vous trouver chez nous ?
- Un impact direct de vos actions en faveur de l'emploi de personnes en situation de handicap,
- Une politique salariale évolutive chaque année, un plan de carrière potentiel sous 2 à 3 ans,
- Des technos et des projets intéressants dans lesquels vous serez un réel acteur.

Qui sommes nous ?

GESTFORM s'est donc doté, depuis plusieurs années, d'un service interne totalement dédié à la conception et au déploiement de ses outils de traitement numérique.

Véritable ESN interne, cette équipe élabore des solutions logicielles, matérielles, et organisationnelles performantes et paramétrables.

GESTFORM dispose également d'une chaine d'intégration continue (Devops) hébergée dans notre propre data center.

Vos missions :

Au sein de ce Pôle SI constituée d'une quarantaine de personnes, en étroite collaboration avec vos collègues, vous participez développement de nos solutions.

Pour cela vos missions sur ce poste seront :
-	Travailler sur le développement de nouvelles prestations : de la conception à la mise en production au sein de notre usine numérique
-	Concevoir et développer les nouvelles fonctionnalités de nos solutions
-	Participer à l'optimisation de nos solutions existantes
-	Participer aux refontes technologiques / d'architecture
-	Participer à l'analyse, qualification et correction des défauts de production
-	Élaborer les stratégies de tests

Nos langages et outils :
- IDE : Visual Studio, VSCodium  
 - Versionning : Git, svn  
 - Méthodologie : Agile / Scrum  
- Langage : Angular, Python, .net, C#, Javascript  

Nous avons de plus en plus de technos récentes (de quoi se faire plaisir).

Votre profil

Titulaire d'un Bac+3 / 5 Systèmes Informatiques et Logiciel, vous justifiez d'une expérience de 2-5 ans en développement d'applications.  

Vous disposez de connaissance sur les bases de données SQL Serveur.

Vous disposez également d'une base de connaissance des principes Clean Code et d'une sensibilité concernant l'UI/UX.

Vous attachez une réelle importance à la qualité de votre code et de vos livrables en générale.

Plus qu'un niveau d'étude, nous recherchons une personne autonome et investie dans sa mission, passionnée, rigoureuse et curieuse et ayant un bon sens de la relation client (client interne).

Votre expérience fait que vous pouvez conseiller et accompagner des développeurs juniors. 

Vous vous êtes reconnu(e) dans ce descriptif ? vous avez envie de nous rejoindre ? alors postulez ! Vous serez recontacté(e) par notre chargée de recrutement dans les prochains jours.

Pour votre organisation personnelle :
- Horaires classiques (même pour les cadres   )
- Un Accord de télétravail de 2 jours par semaine

La rémunération brute annuelle est composée d'un fixe entre 40 et 42k€ (selon expérience) + prime intéressement + PEE + PERCO + RTT

Également, d'autres avantages :
- Parcours d'intégration personnalisé
- Forte Politique de formation
- Possibilité d'évolution (plan de carrière mis en place)
- CSE
- Mutuelle d'entreprise avec prise en charge de 63% de la part de Gestform sur la base mutuelle (22€ à votre charge)",Études et développement informatique,"[{'code': '113798', 'libelle': 'Python', 'exigence': 'S'}, {'code': '118748', 'libelle': 'Méthodologie Scrum', 'exigence': 'S'}, {'code': '300488', 'libelle': 'Concevoir et gérer un projet', 'exigence': 'S'}, {'code': '300679', 'libelle': ""Tester un logiciel, un système d'informations, une application"", 'exigence': 'S'}, {'code': '400261', 'libelle': 'Coder', 'exigence': 'S'}]",[[0.46729473]]
